Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
55.6,31,52520.75,212.87,Focused 3rdgeneration pricing structure,New Michael,Female,Croatia,2/26/2016 22:46,0
60.53,38,70582.55,122.04,Universal 24/7 implementation,Stewartbury,Male,Finland,3/15/2016 17:33,0
82.07,33,43974.49,123.13,Multi-tiered foreground Graphic Interface,Silvaton,Female,Poland,5/12/2016 21:32,1
84.73,26,50628.31,126.39,Reactive composite project,East Kevinbury,Male,Albania,1/1/2016 15:14,0
70.92,35,73889.99,236.87,Optional multi-state hardware,Port Melissaberg,Female,Lao People's Democratic Republic,5/12/2016 4:35,0
74.54,42,59243.46,143.13,Robust logistical utilization,Hubbardmouth,Male,Tanzania,4/6/2016 11:24,1
51.24,36,50628.31,222.25,Proactive encompassing paradigm,Port Melissaberg,Female,Liechtenstein,1/1/2016 5:31,0
55.6,39,48335.2,124.44,Intuitive exuding service-desk,Olsonstad,Female,El Salvador,5/8/2016 22:24,1
40.04,22,54774.77,172.81,Profit-focused secondary portal,West Gregburgh,Female,Austria,2/19/2016 20:49,0
56.39,46,33951.63,191.82,Proactive actuating Graphical User Interface,South Jaimeview,Male,Switzerland,4/6/2016 14:16,0
88.04,38,57868.44,154.75,Profit-focused dedicated utilization,Stewartbury,Female,Western Sahara,7/19/2016 12:05,1
82.07,48,65956.71,123.13,Integrated coherent pricing structure,Burgessside,Female,Hungary,7/17/2016 1:13,1
76.44,26,32252.38,207.17,Sharable reciprocal project,Port Kathleenfort,Male,United States Virgin Islands,2/26/2016 1:18,0
44.78,55,55015.08,187.76,Function-based context-sensitive secured line,Hubbardmouth,Male,Northern Mariana Islands,1/15/2016 22:49,1
65.59,36,32549.95,109.07,Self-enabling optimal initiative,Youngfort,Male,American Samoa,3/14/2016 23:13,1
40.47,35,25603.93,236.87,Optional multi-state hardware,Hatfieldshire,Female,Spain,7/18/2016 1:36,0
62.18,19,63430.33,133.2,Focused coherent success,Boyerberg,Male,Vanuatu,3/6/2016 11:36,0
56.16,29,69718.19,201.58,Programmable uniform website,Christinetown,Female,Uganda,7/21/2016 10:54,0
67.85,28,61840.26,120.49,Customizable zero-defect Internet solution,West Angelabury,Male,United States Virgin Islands,4/8/2016 22:40,0
88.12,26,70203.74,190.17,Configurable impactful firmware,Lake Jacqueline,Female,Albania,1/23/2016 13:14,0
79.54,30,50671.6,234.26,Visionary maximized process improvement,Lake Jessicaville,Male,Bolivia,7/5/2016 15:14,1
55.6,35,19991.72,236.87,Robust uniform framework,West Roytown,Female,Saint Vincent and the Grenadines,6/20/2016 14:20,1
55.6,35,25603.93,236.87,Robust uniform framework,Wrightburgh,Female,Myanmar,4/1/2016 9:21,0
69.62,34,34191.23,168.34,Cloned explicit middleware,Kingshire,Male,Namibia,3/11/2016 0:05,0
68.01,33,56782.18,223.03,Managed eco-centric encoding,Johnsontown,Female,United States of America,7/3/2016 4:11,0
50.63,36,32549.95,131.55,Cloned object-oriented benchmark,Jordantown,Male,Liechtenstein,7/8/2016 3:47,1
80.51,55,57014.84,187.76,Function-based context-sensitive secured line,Combsstad,Male,Northern Mariana Islands,3/20/2016 8:22,1
66.18,31,56180.93,204.79,Horizontal heuristic support,Dustinchester,Female,Croatia,2/26/2016 1:18,0
87.35,28,55121.65,207.17,Monitored context-sensitive initiative,West Joseph,Female,Zambia,2/26/2016 22:46,0
43.84,36,55002.05,176.7,Function-based optimizing protocol,Lake Jasonchester,Female,Spain,7/3/2016 4:11,0
80.91,27,66815.54,222.11,Front-line dynamic model,Kimberlytown,Female,Ukraine,2/17/2016 18:50,0
81.75,33,62060.11,196.77,Synchronized multi-tasking ability,Silvaton,Female,Indonesia,5/12/2016 21:32,0
89.05,38,70582.55,122.04,Synergized clear-thinking protocol,Stewartbury,Male,Western Sahara,1/23/2016 18:59,1
75.15,33,49101.67,204.02,Diverse modular interface,New Taylorburgh,Male,Vanuatu,7/3/2016 4:11,0
47.74,32,69481.85,178.92,Business-focused transitional solution,Port Gregory,Male,Isle of Man,1/9/2016 3:45,0
89.05,43,74535.94,184.23,Reactive needs-based instruction set,Port Katelynview,Female,Bahamas,5/9/2016 21:54,1
35.49,39,38067.08,124.44,Intuitive exuding service-desk,North Brandon,Female,Guadeloupe,2/26/2016 22:46,0
81.75,52,33951.63,230.95,Synchronized multi-tasking ability,East Carlos,Male,Eritrea,4/18/2016 15:54,0
80.3,52,27241.11,117.75,Profit-focused attitude-oriented task-force,Alexanderfurt,Male,Portugal,7/19/2016 8:32,1
59.22,52,64021.55,229.12,Synchronized multi-tasking ability,Silvaton,Female,Cayman Islands,1/7/2016 23:02,1
35.25,40,38067.08,124.32,Up-sized bi-directional infrastructure,Garciatown,Female,Burundi,2/26/2016 22:46,0
47.64,24,52252.91,182.2,Devolved human-resource circuit,Garciaside,Female,Venezuela,4/13/2016 13:04,0
44.33,39,37334.78,124.44,Customer-focused incremental system engine,Westshire,Female,Ireland,2/9/2016 7:21,1
49.21,27,36884.23,158.81,Monitored dynamic instruction set,East Jessefort,Female,Ukraine,7/3/2016 4:11,0
71.84,39,48335.2,230.52,Configurable mission-critical algorithm,Westshire,Female,American Samoa,5/8/2016 22:24,1
70.39,35,54429.17,226.54,Optional multi-state hardware,Phelpschester,Male,Hong Kong,7/2/2016 20:23,0
69.88,34,34191.23,160.03,Cloned explicit middleware,Kingshire,Male,Equatorial Guinea,3/11/2016 0:05,0
42.04,49,45632.51,122.02,Streamlined homogeneous analyzer,West Brandonton,Female,Netherlands,4/4/2016 20:01,1
40.04,41,57846.68,140.46,Face-to-face analyzing encryption,Garciatown,Female,Kyrgyz Republic,2/26/2016 22:46,0
37,30,57877.15,113.69,Cross-platform logistical pricing structure,New Tinamouth,Male,Bolivia,4/22/2016 0:28,1
82.07,41,57846.68,187.76,Robust uniform framework,West Lisa,Female,Cuba,7/17/2016 14:26,1
71.28,32,57691.95,178.92,Up-sized 6thgeneration moratorium,Lisafort,Male,Somalia,3/31/2016 20:55,0
51.3,38,51920.49,226.74,Centralized content-based focus group,South Christopher,Female,Senegal,4/6/2016 11:24,0
37,53,66574,174.88,Total 5thgeneration standardization,Lake Matthewland,Female,France,7/19/2016 12:05,1
40.47,35,54429.17,236.87,Optional multi-state hardware,North Johnside,Female,Hong Kong,7/18/2016 1:36,0
44.64,36,59240.24,222.25,Up-sized incremental encryption,Gonzalezburgh,Female,French Guiana,2/26/2016 19:48,0
70.29,31,59886.58,207.17,Optional full-range projection,Edwardsport,Male,Bosnia and Herzegovina,7/9/2016 11:18,0
85.84,44,51317.33,227.63,Down-sized background groupware,Michaelmouth,Female,Bulgaria,2/20/2016 0:06,1
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,Female,Netherlands,4/4/2016 20:01,1
55.6,30,50671.6,140.15,Visionary maximized process improvement,North Daniel,Male,Guinea,2/11/2016 16:45,1
83.71,45,31092.93,138.71,Polarized clear-thinking budgetary management,Wintersfort,Male,Bosnia and Herzegovina,1/23/2016 18:59,1
42.04,49,45632.51,168.34,Advanced 24/7 productivity,West Brandonton,Female,Netherlands,2/8/2016 14:02,1
51.87,44,31281.01,137.63,Enterprise-wide tangible model,Destinyfurt,Male,Somalia,7/8/2016 3:47,0
73.72,32,55424.24,178.92,Business-focused transitional solution,Ryanhaven,Male,Bolivia,5/8/2016 10:25,0
81.75,19,33951.63,195.69,Managed client-server access,South George,Male,Burkina Faso,6/3/2016 17:32,0
75.55,25,50506.44,140.46,Digitized content-based circuit,West Aprilport,Female,Saint Pierre and Miquelon,1/3/2016 7:13,0
84.73,26,56782.18,131.68,Profit-focused dedicated utilization,East Kevinbury,Female,Senegal,1/15/2016 19:40,1
63.45,42,58849.77,120.75,Virtual 5thgeneration neural-net,Stewartbury,Male,Hong Kong,2/19/2016 13:26,0
81.75,60,68448.94,186.37,Self-enabling local strategy,South Jaimeview,Female,Burundi,4/4/2016 8:19,1
46.61,43,53922.43,122.31,Devolved zero administration intranet,Port Katelynview,Female,Bangladesh,4/17/2016 21:39,1
56.39,40,40468.53,194.62,Inverse zero-defect capability,North Randy,Female,Uganda,7/13/2016 16:12,1
79.54,32,69481.85,178.92,Business-focused transitional solution,Lisafort,Male,Ghana,1/9/2016 3:45,0
66.18,28,71222.4,139.01,Phased hybrid superstructure,Westshire,Female,Ireland,1/23/2016 17:39,1
83.71,26,51463.17,131.68,Focused multi-state workforce,West Mariafort,Female,Angola,5/15/2016 13:18,0
51.87,49,39031.89,195.69,Managed client-server access,Penatown,Male,Australia,4/4/2016 20:01,1
80.31,23,55121.65,217.37,Sharable reciprocal project,Dustinchester,Female,Czech Republic,2/8/2016 7:33,0
69.62,34,40183.75,168.34,Cloned explicit middleware,Kingshire,Male,Namibia,3/11/2016 0:05,0
81.98,50,73538.09,226.79,Focused coherent success,Port Jeffrey,Female,Northern Mariana Islands,2/12/2016 10:39,1
80.47,38,64564.07,122.04,Universal 24/7 implementation,Stewartbury,Male,Tokelau,1/15/2016 19:40,0
59.22,49,43450.11,195.69,Managed client-server access,Penatown,Male,Australia,4/4/2016 20:01,1
55.6,31,75044.35,207.17,Sharable secondary Graphical User Interface,Robertbury,Male,Hong Kong,1/3/2016 7:13,0
65.77,42,59243.46,143.13,Robust logistical utilization,Hubbardmouth,Male,Czech Republic,5/27/2016 15:25,1
37.45,39,48335.2,222.25,Business-focused background synergy,Hollyfurt,Male,Liechtenstein,5/8/2016 22:24,1
89.05,44,61428.18,140.95,Expanded radical software,Michaelmouth,Male,Turkey,3/14/2016 14:13,1
80.3,52,33951.63,186.37,Programmable uniform website,Ericksonmouth,Male,Portugal,7/19/2016 8:32,1
54.88,52,45632.51,186.37,Self-enabling local strategy,New Sean,Female,Belgium,4/4/2016 8:19,1
78.74,38,60514.05,129.8,Enhanced optimizing website,Hubbardmouth,Male,Czech Republic,4/6/2016 11:24,1
59.59,34,40183.75,243.61,Cloned explicit middleware,Patriciahaven,Male,Namibia,2/27/2016 8:52,0
39.3,32,70492.6,219.94,Business-focused transitional solution,Lake Cassandraport,Male,Serbia,1/9/2016 3:45,1
40.47,27,36884.23,131.29,Monitored object-oriented Graphic Interface,South Jeanneport,Male,Gibraltar,3/23/2016 21:06,0
80.51,55,62784.85,187.76,Function-based context-sensitive secured line,East Breannafurt,Male,Turkey,1/7/2016 13:58,1
37.87,44,48335.2,187.76,Exclusive even-keeled moratorium,New Travistown,Female,Kuwait,2/20/2016 0:06,1
41.73,28,55121.65,204.79,Realigned intangible benchmark,Garnerberg,Female,Zambia,2/26/2016 1:18,0
38.37,36,76003.47,141.52,Up-sized incremental encryption,North Randy,Female,Liechtenstein,1/3/2016 16:01,1
56.39,19,54251.78,168.34,Cross-group non-volatile secured line,Penatown,Male,Eritrea,4/4/2016 20:01,0
67.56,28,71222.4,207.17,Down-sized bandwidth-monitored core,Jamiefort,Female,Zambia,2/26/2016 1:18,0
51.56,29,53431.35,167.22,Multi-lateral multi-state encryption,New Travistown,Female,Uganda,2/3/2016 19:12,1
55.6,35,73889.99,225.58,Profound zero administration instruction set,Wrightburgh,Female,Niger,6/11/2016 6:47,0
66.08,33,60953.93,215.18,Front-line heuristic data-warehouse,Lake Brandonview,Female,Myanmar,4/19/2016 5:15,0
80.47,48,57868.44,123.13,Cross-platform 4thgeneration focus group,Port Michaelmouth,Male,Turkey,7/17/2016 1:13,1
40.47,35,58183.04,167.42,Optional multi-state hardware,North Randy,Female,Hong Kong,5/13/2016 14:12,0
47.74,30,42696.67,111.94,Upgradable optimizing toolset,New Tinamouth,Male,Bolivia,1/13/2016 2:58,0
44.4,30,54324.73,140.15,Total 5thgeneration standardization,Petersonfurt,Female,Palestinian Territory,6/29/2016 10:50,1
51.87,35,73889.99,225.58,Robust uniform framework,Wrightburgh,Female,Lao People's Democratic Republic,7/3/2016 9:22,0
53.68,27,39193.45,225,Configurable tertiary capability,South Jeanneport,Male,Estonia,3/9/2016 14:57,0
58.18,19,62772.42,201.58,Cross-group non-volatile secured line,Browntown,Male,French Guiana,3/26/2016 19:54,0
59.59,34,59785.94,219.69,Function-based incremental standardization,New Tinamouth,Female,Brunei Darussalam,4/27/2016 4:28,1
41.73,45,74903.41,158.42,Reduced background data-warehouse,Wintersfort,Male,Saudi Arabia,3/5/2016 12:03,1
82.07,35,57846.68,259.76,User-centric intermediate knowledge user,West Raymondmouth,Female,Hungary,1/28/2016 17:03,0
71.84,39,23936.86,144.27,Customer-focused incremental system engine,New Brandy,Female,Madagascar,6/10/2016 10:11,0
43.84,36,48335.2,124.44,Networked impactful framework,North Randy,Female,Mayotte,5/8/2016 22:24,1
78.67,31,56180.93,207.17,Balanced empowering success,West Angelabury,Male,Croatia,5/10/2016 7:22,0
51.87,33,55642.32,204.02,Function-based incremental standardization,Lake Amy,Male,Indonesia,2/23/2016 17:37,0
89.05,51,57868.44,178.75,Customizable homogeneous contingency,West David,Male,Malta,3/10/2016 15:07,1
51.87,60,59448.44,123.86,Cross-group systemic customer loyalty,East Brittanyville,Female,Burundi,6/12/2016 21:21,0
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,Female,Netherlands,4/4/2016 20:01,1
49.42,25,50506.44,241.03,Digitized content-based circuit,South Corey,Female,Micronesia,3/4/2016 14:10,0
80.46,25,50506.44,176.28,Multi-layered fresh-thinking neural-net,West Aprilport,Male,Greenland,1/3/2016 7:13,0
65.56,46,60968.62,231.95,Proactive actuating Graphical User Interface,Shelbyport,Male,Switzerland,1/12/2016 10:07,1
55.6,35,42993.48,225.58,Realigned content-based leverage,South Adamhaven,Male,Niger,1/5/2016 7:52,0
59.05,50,43974.49,123.13,Integrated coherent pricing structure,Burgessside,Female,Heard Island and McDonald Islands,1/9/2016 4:53,1
76.81,28,67669.06,217.37,Synchronized user-facing core,West Joseph,Male,Venezuela,1/5/2016 16:26,0
42.04,49,39031.89,195.69,Streamlined homogeneous analyzer,West Brandonton,Male,Australia,4/4/2016 20:01,1
38.96,25,50506.44,241.03,Integrated interactive support,Lake David,Male,Hong Kong,7/8/2016 17:14,0
66.49,49,43450.11,195.69,Advanced 24/7 productivity,Hawkinsbury,Male,Netherlands,3/22/2016 6:41,1
33.33,41,63363.04,255.57,Optimized upward-trending productivity,West Terrifurt,Male,Turkey,2/11/2016 16:45,1
51.24,36,61610.05,140.46,Total 5thgeneration standardization,Youngfort,Female,Uganda,2/17/2016 20:22,1
82.87,31,55121.65,204.79,Polarized bifurcated array,North Johnside,Female,French Guiana,4/17/2016 6:58,0
37,26,63430.33,140.46,Customizable multi-tasking website,Elizabethstad,Female,Qatar,1/5/2016 20:58,0
65.4,29,72203.96,216.49,Sharable reciprocal project,Wilsonburgh,Male,Senegal,1/16/2016 16:40,0
82.07,43,58633.63,121.28,Reverse-engineered maximized focus group,Port Jeffrey,Female,Bangladesh,4/17/2016 21:39,1
56.39,29,69646.35,153.76,Synergized coherent interface,Carterland,Female,Ireland,1/11/2016 2:07,1
56.39,27,66815.54,168.92,Virtual impactful algorithm,Mosleyburgh,Male,Switzerland,3/9/2016 14:57,0
59.05,50,43974.49,123.13,Realigned content-based leverage,Burgessside,Male,Turkey,6/18/2016 22:31,1
52.68,32,70505.06,172.83,Focused upward-trending core,Lisafort,Female,Bahamas,4/28/2016 22:54,0
40.47,35,70012.83,158.29,Profound zero administration instruction set,Robinsonland,Female,Myanmar,1/5/2016 20:58,0
59.51,29,51868.85,153.76,Customer-focused optimizing moderator,New Travistown,Female,Australia,4/15/2016 15:07,1
47.74,51,42362.49,117.3,Profit-focused attitude-oriented task-force,Lake Jessicaville,Male,Denmark,7/14/2016 22:43,1
56.39,29,69646.35,200.71,Grass-roots mission-critical emulation,Mariahview,Female,Burundi,7/13/2016 7:41,0
59.51,40,62669.59,130.86,Face-to-face methodical intranet,Luischester,Male,Switzerland,2/11/2016 16:45,1
82.07,22,51257.26,139.34,Optimized upward-trending productivity,Sarahland,Female,United States of America,7/21/2016 10:54,0
37.87,38,64564.07,163.48,Reverse-engineered maximized focus group,Wilcoxport,Male,Northern Mariana Islands,4/3/2016 21:13,1
55.6,36,32549.95,141.52,Versatile transitional monitoring,New Rebecca,Female,Liechtenstein,1/3/2016 16:01,1
81.59,35,74445.18,235.29,Monitored object-oriented Graphic Interface,Phelpschester,Male,Myanmar,7/2/2016 20:23,0
84.98,40,31265.75,198.45,Upgradable optimizing toolset,New Tinamouth,Male,Ethiopia,5/8/2016 10:25,1
43.6,35,39840.55,120.06,Face-to-face even-keeled website,North Randy,Female,Saint Vincent and the Grenadines,6/29/2016 2:48,1
46.61,30,50671.6,133.9,Realigned reciprocal framework,New Marcusbury,Male,Bolivia,3/23/2016 9:43,1
81.58,41,54755.71,140.15,Fully-configurable foreground solution,Edwardsport,Male,Korea,3/14/2016 23:13,0
47.64,29,53673.08,208.05,Mandatory coherent groupware,Christinetown,Female,Burundi,3/9/2016 0:41,0
65.59,39,71455.62,221.79,Ergonomic methodical encoding,Hannaport,Male,Luxembourg,2/9/2016 7:21,1
78.7,40,62669.59,111.94,Profit-focused attitude-oriented task-force,South Walter,Male,Portugal,5/30/2016 20:08,1
55.6,35,25603.93,236.87,Optional multi-state hardware,Wrightburgh,Female,Ukraine,7/18/2016 1:36,0
56.57,44,74180.05,218.22,Grass-roots empowering paradigm,Hubbardmouth,Female,American Samoa,2/15/2016 16:52,0
75.55,26,59240.24,140.46,Multi-layered fresh-thinking neural-net,West Gregburgh,Female,Angola,1/3/2016 7:13,0
46.61,41,64828,120.63,Function-based optimizing protocol,Port Katelynview,Female,El Salvador,2/27/2016 15:04,1
46.28,26,46033.73,228.78,Business-focused real-time toolset,East Kevinbury,Male,Hong Kong,1/8/2016 19:38,0
83.67,44,57846.68,227.63,Robust responsive collaboration,New Travistown,Female,Bulgaria,4/4/2016 7:07,1
80.3,28,53058.91,180.88,Re-engineered non-volatile neural-net,Jamiefort,Female,Ghana,1/14/2016 14:00,1
81.75,19,62060.11,113.53,Function-based incremental standardization,Jamesville,Female,Burundi,3/11/2016 0:05,0
41.73,25,50671.6,241.03,Team-oriented zero-defect initiative,New Tina,Male,Georgia,4/28/2016 2:55,0
51.24,36,76003.47,140.46,Up-sized incremental encryption,North Randy,Female,Liechtenstein,1/3/2016 16:01,1
81.75,24,52252.91,182.2,Profound optimizing utilization,West James,Female,Bahrain,3/3/2016 22:31,0
56.39,46,41768.13,229.22,Automated stable help-desk,Shelbyport,Male,Czech Republic,2/28/2016 23:10,1
63.26,42,58151.87,120.75,Virtual 5thgeneration neural-net,Novaktown,Male,United Kingdom,2/19/2016 13:26,0
66.08,46,39939.39,212.92,Synergistic stable infrastructure,Youngfort,Female,Saudi Arabia,2/27/2016 20:20,1
55.6,24,64698.58,178.92,Business-focused transitional solution,Lisafort,Male,Algeria,3/18/2016 13:22,0
44.98,34,20592.99,168.34,Cloned explicit middleware,Jamesville,Female,Eritrea,3/11/2016 0:05,0
82.07,22,63363.04,187.76,Exclusive even-keeled moratorium,Combsstad,Female,Angola,7/5/2016 18:59,0
78.36,50,43974.49,123.13,Team-oriented dynamic forecast,Gilbertville,Female,Malawi,4/4/2016 7:07,1
46.14,31,27262.51,204.79,Sharable reciprocal project,Lake Brian,Female,American Samoa,5/6/2016 21:07,0
75.42,30,66574,111.94,Business-focused transitional solution,Williamport,Male,Bolivia,5/8/2016 10:25,0
59.59,55,62784.85,201.15,Advanced modular Local Area Network,Hubbardmouth,Female,Tonga,4/21/2016 9:30,1
41.73,28,75044.35,207.17,Intuitive exuding service-desk,North Aaronburgh,Female,Ghana,5/8/2016 22:24,0
63.45,24,61601.05,182.2,Monitored content-based implementation,East Carlos,Female,Algeria,3/24/2016 9:34,0
75.03,34,59785.94,183.82,Function-based incremental standardization,New Tinamouth,Female,Turkmenistan,4/27/2016 4:28,1
41.73,34,34191.23,160.03,Cloned explicit middleware,Randolphport,Male,Saint Vincent and the Grenadines,2/27/2016 8:52,1
82.07,43,53647.81,122.31,Reverse-engineered maximized focus group,Port Jeffrey,Female,Cambodia,3/30/2016 23:40,1
59.05,48,43974.49,212.38,Integrated coherent pricing structure,Burgessside,Female,Heard Island and McDonald Islands,7/17/2016 1:13,1
35.61,27,47575.44,214.42,Monitored dynamic instruction set,Garciatown,Female,Ukraine,2/26/2016 19:48,0
47.74,29,53431.35,217.1,Managed client-server access,West Shannon,Male,Algeria,1/14/2016 0:23,0
79.54,41,50628.31,158.42,Synergistic reciprocal attitude,Angelhaven,Male,Micronesia,5/31/2016 23:42,1
40.04,23,50723.67,172.81,Team-oriented executive core,Hubbardmouth,Female,Serbia,7/23/2016 6:18,0
65.07,22,73882.91,121.07,Customizable modular Internet solution,Port Sarahhaven,Female,United States of America,7/3/2016 4:11,0
39.96,26,63430.33,241.03,Synergized intangible open system,West Aprilport,Female,Faroe Islands,3/8/2016 18:00,0
41.73,31,57739.03,207.17,Sharable reciprocal project,West Angelabury,Male,Singapore,7/9/2016 11:18,0
37.87,40,41232.89,123.51,Total 5thgeneration standardization,New Travistown,Female,Uganda,4/22/2016 22:01,1
53.68,36,25682.65,239.94,Synergized coherent interface,Lake Patrick,Male,Korea,7/8/2016 3:47,0
54.88,22,31215.88,156.36,Profit-focused secondary portal,Sarahland,Female,Austria,4/9/2016 16:31,0
55.6,32,55424.24,178.92,Business-focused transitional solution,Lisafort,Male,Latvia,1/9/2016 3:45,0
43.49,37,67132.46,129.31,Profound dynamic attitude,East Tammie,Female,Cook Islands,1/3/2016 17:10,0
54.97,33,68094.85,230.95,Synchronized multi-tasking ability,East Carlos,Female,Indonesia,6/10/2016 11:31,0
56.3,39,55121.65,143.79,User-friendly client-server instruction set,North Katie,Male,American Samoa,1/1/2016 15:14,1
61.09,26,56694.12,190.17,Optional secondary access,East Kevinbury,Female,Senegal,7/5/2016 18:59,0
69.62,34,34191.23,114.53,Cloned explicit middleware,Kingshire,Male,Equatorial Guinea,3/11/2016 0:05,0
68.01,33,56782.18,120.75,Quality-focused zero tolerance matrices,Lake Susan,Female,Burundi,6/21/2016 13:15,0
56.16,29,72203.96,136.18,Programmable uniform website,West Shannon,Male,Australia,1/5/2016 16:26,0
65.59,28,68448.94,258.62,Seamless cohesive conglomeration,New Brandy,Male,Libyan Arab Jamahiriya,3/8/2016 0:37,1
80.31,31,61840.26,207.17,Sharable reciprocal project,New Michael,Male,Singapore,7/9/2016 11:18,0
36.56,52,33951.63,218.61,Visionary asymmetric encryption,Taylorhaven,Male,Portugal,6/16/2016 2:01,1
60.23,41,57846.68,227.63,Distributed maximized ability,Lake Jose,Female,El Salvador,1/27/2016 18:25,1
74.06,47,60283.98,168.34,Cloned explicit middleware,New Tinamouth,Female,Samoa,4/27/2016 4:28,1
79.52,44,48335.2,137.24,Realigned intermediate application,New Travistown,Female,Micronesia,2/16/2016 12:05,1
41.73,31,59886.58,207.17,Sharable reciprocal project,Lake Brian,Male,Bosnia and Herzegovina,6/16/2016 2:01,0
68.88,42,59243.46,143.13,Function-based fault-tolerant model,Hubbardmouth,Male,Czech Republic,5/13/2016 11:57,1
54.47,35,73889.99,226.54,Secured secondary superstructure,Phelpschester,Male,Hong Kong,7/2/2016 20:23,0
80.47,38,57868.44,170.13,Virtual bandwidth-monitored initiative,Stewartbury,Female,Lao People's Democratic Republic,5/19/2016 14:30,1
79.52,31,59886.58,133.17,Integrated interactive support,Micheletown,Male,Palestinian Territory,6/10/2016 10:11,1
80.31,31,56180.93,207.17,Profound executive flexibility,Dustinchester,Female,Bouvet Island (Bouvetoya),7/15/2016 5:05,0
69.86,33,49101.67,120.75,Diverse modular interface,West Connor,Male,Niger,7/3/2016 4:11,0
49.21,30,48918.55,140.46,De-engineered attitude-oriented projection,West Roytown,Female,Cameroon,7/18/2016 1:36,0
54.88,43,32635.7,167.86,Reverse-engineered maximized focus group,East Breannafurt,Male,Northern Mariana Islands,4/3/2016 21:13,1
86.06,32,55424.24,172.83,Focused upward-trending core,Lisafort,Female,Venezuela,4/28/2016 22:54,0
89.05,25,50671.6,141.89,Reactive composite project,Hansenmouth,Male,Hong Kong,4/28/2016 2:55,0
82.07,33,74535.94,162.03,Progressive non-volatile neural-net,Silvaton,Female,Macedonia,2/21/2016 5:23,0
80.51,48,62784.85,212.38,Function-based context-sensitive secured line,Gilbertville,Male,Turkey,7/17/2016 1:13,1
37,30,33293.78,228.81,Total 5thgeneration standardization,Lake Matthewland,Female,Guinea,7/21/2016 10:54,1
83.47,34,59785.94,160.03,Cloned explicit middleware,Patriciahaven,Female,Turkmenistan,3/11/2016 0:05,0
66.12,37,67132.46,181.25,Centralized logistical secured line,South Patrickfort,Female,Gabon,1/8/2016 22:47,0
84.98,32,69481.85,178.92,Business-focused transitional solution,Port Gregory,Male,Saudi Arabia,6/9/2016 21:43,1
51.38,28,71222.4,180.88,Inverse local hub,Reyesfurt,Female,Gabon,4/24/2016 7:20,0
37,25,50671.6,178.85,Pre-emptive next generation Internet solution,Combsstad,Male,Georgia,3/18/2016 13:00,0
47.64,29,64267.88,129.33,Grass-roots mission-critical emulation,Mullenside,Female,Senegal,2/3/2016 19:12,1
40.04,23,60514.05,172.81,Team-oriented executive core,Hubbardmouth,Male,Czech Republic,2/15/2016 16:52,0
44.4,30,57877.15,172.83,Synchronized systemic hierarchy,Kristinfurt,Female,Bahamas,2/17/2016 13:16,0
55.6,24,52252.91,172.83,Business-focused transitional solution,Lisafort,Male,Algeria,3/30/2016 14:36,0
56.16,30,57877.15,172.83,Total 5thgeneration standardization,Kristinfurt,Female,Bolivia,6/29/2016 10:50,0
41.73,23,32252.38,217.37,Synchronized user-facing core,West Joseph,Male,Ethiopia,1/5/2016 16:26,0
55.6,54,50333.72,161.16,Automated stable help-desk,Westshire,Female,Australia,1/16/2016 23:37,1
55.6,39,19991.72,258.62,Vision-oriented attitude-oriented Internet solution,Jonathanland,Female,Poland,2/3/2016 7:59,1
39.36,23,59785.94,204.22,Team-oriented transitional methodology,New Tinamouth,Female,Samoa,6/13/2016 22:41,0
70.29,24,52252.91,182.2,Multi-lateral multi-state encryption,West Ricardo,Female,El Salvador,5/24/2016 13:30,1
80.51,55,57014.84,187.76,Function-based context-sensitive secured line,Hubbardmouth,Female,Netherlands,4/21/2016 9:30,1
55.6,35,73889.99,236.87,Optional multi-state hardware,Wrightburgh,Female,Myanmar,7/18/2016 1:36,0
89.05,44,57846.68,163.48,Fully-configurable neutral open system,Wintersfort,Male,Turkey,7/6/2016 23:09,1
44.4,53,57877.15,111.94,Business-focused transitional solution,New Tinamouth,Male,Bolivia,4/22/2016 0:28,1
88.04,26,56694.12,190.17,Reverse-engineered context-sensitive emulation,New Travistown,Female,Tonga,5/25/2016 20:10,1
43.49,27,36884.23,171.07,Decentralized needs-based analyzer,Jordantown,Male,Switzerland,3/9/2016 14:57,0
55.6,54,53188.69,240.63,Proactive 5thgeneration frame,Williamsport,Female,Palestinian Territory,1/8/2016 9:32,1
54.88,43,39616,120.75,Compatible composite project,West Chloeborough,Male,Vanuatu,3/24/2016 6:36,0
82.07,22,54774.77,187.76,Profit-focused secondary portal,Combsstad,Female,Austria,3/4/2016 14:10,0
71.84,31,56180.93,207.17,De-engineered tertiary secured line,New Michael,Female,Madagascar,7/9/2016 11:18,0
80.31,28,71222.4,217.37,Inverse local hub,South Jade,Female,Gabon,2/29/2016 23:56,0
59.59,34,59785.94,168.34,Cloned explicit middleware,New Tinamouth,Female,Turkmenistan,2/27/2016 8:52,1
86.06,35,73889.99,221.18,Total cohesive moratorium,Austinland,Male,Niger,3/18/2016 13:22,0
52.68,32,55424.24,178.92,Business-focused transitional solution,Lisafort,Male,Latvia,3/31/2016 20:55,0
